uei,years_audited,audit_reports_count,city,ein,entity_name,state,zip,cognizant_agency,entity_type,latest_audit_year,earliest_audit_year,going_concern_count,internal_control_def_count,low_risk_count,material_weakness_gen_count,material_weakness_count,modified_opinion_count,noncompliance_count,prior_findings_count,questioned_costs_count,repeat_finding_count,significant_deficiency_count,total_expenditures,is_problem_entity,risk_score,recipient_name,recipient_state,recipient_city,total_funding,total_obligated,total_awards,program_count,funding_num
Q7TCTBD3YP27,3,3,CHICAGO,237294683,EL VALOR CORPORATION,IL,60608,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,4,45533143,1,40,EL VALOR CORP,IL,CHICAGO,31417405.7,101790034.07,26,3,31417405.7
TXKNHKNJUT63,4,4,Charlotte,561262478,The CW Williams Community Health Center,NC,28266,,non-profit,2025,2022,0,0,0,0,0,0,0,0,0,0,4,23576955,1,40,"THE C.W. WILLIAMS COMMUNITY HEALTH CENTER, INC.",NC,CHARLOTTE,31389776.81,118926516,61,8,31389776.81
E6NBMP5J8LR3,2,2,Tulsa,731554474,Tulsa Community Foundation,OK,74136,,non-profit,2024,2023,0,0,0,0,8,0,0,0,0,15,17,3191808,1,250,TULSA COMMUNITY FOUNDATION,OK,TULSA,31386152.75,15391750,11,2,31386152.75
LA48EKLKTBV3,3,3,Howes,460406180,Takini School,SD,57748,,tribal,2024,2022,0,0,0,0,0,0,0,0,0,7,17,16004209,1,170,TAKINI SCHOOL,SD,HOWES,31379390.88,73631564.79,19,11,31379390.88
QXLFJ817TTK3,3,3,COEBURN,540922236,WISE COUNTY REDEVELOPMENT AND HOUSING AUTHORITY,VA,242300630,,local,2024,2022,0,0,0,0,3,0,0,0,0,1,0,19776426,1,40,THE WISE COUNTY HOUSING CORPORATION,VA,COEBURN,31364674,8556900,143,4,31364674
H2X6UC5FSCT5,6,6,Fayetteville,710398535,Housing Authority of the City of Fayetteville,IL,72701,,local,2024,2019,0,0,0,0,45,60,0,0,11,41,15,33564483,1,600,FAYETTEVILLE HOUSING AUTHORITY,AR,FAYETTEVILLE,31341514.78,8833674.78,271,7,31341514.78
SFJMLPWZ4547,3,3,Indianapolis,356000158,Indiana Economic Development Corporation,IN,46204,,local,2024,2022,0,0,0,0,1,0,0,0,0,0,5,79619555,1,60,INDIANA ECONOMIC DEVELOPMENT CORPORATION,IN,INDIANAPOLIS,31320565.93,17846318.54,46,7,31320565.93
LC8QQDC3DKW8,3,3,PERESBURG,376006329,MENARD COUNTY HOUSING AUTHORITY,IL,29506,,local,2024,2022,0,0,0,0,0,0,0,0,0,2,3,16273478,1,30,MENARD COUNTY HOUSING AUTHORITY,IL,PETERSBURG,31314455,6503498,190,6,31314455
FSCUSJ12BVA8,3,3,UTICA,161476258,UTICA UNIVERSITY,NY,13502,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,0,4,127711283,1,40,UTICA UNIVERSITY,NY,UTICA,31311673.1,29300061.19,44,9,31311673.1
T33MAJLE1MJ3,3,4,AUBURN,016000018,"CITY OF AUBURN, MAINE",ME,04210,,local,2024,2022,0,0,0,0,23,26,0,0,6,11,12,48413697,1,380,THE CITY OF AUBURN,ME,AUBURN,31287134.84,20577635,19,5,31287134.84
JBHSR2DSHZ43,4,4,WARWICK,050370733,"C.H.I.L.D, INC.",RI,02889,,non-profit,2025,2022,0,0,0,0,0,0,0,0,0,0,4,24105575,1,40,CHILD INC,RI,WARWICK,31283973,152032608,9,1,31283973
X1SRBMMDDBK5,3,3,KISSIMMEE,753147007,"PRIMARY CARE MEDICAL SERVICES OF POINCIANA, INC.",FL,34744,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,4,3,17215381,1,70,"PRIMARY CARE MEDICAL SERVICES OF POINCIANA, INC.",FL,KISSIMMEE,31242017.04,126116796,39,5,31242017.04
EMC9UJEEHHJ1,2,2,Unalaska,920134953,Qawalangin Tribe of Unalaska,AK,99685,,tribal,2022,2021,0,0,0,0,19,37,0,0,18,18,18,5319125,1,370,QAWALANGIN TRIBE OF UNALASKA,AK,UNALASKA,31241581.74,18976035.11,116,24,31241581.74
YKTJJH459XN9,4,4,Columbia,570803696,South Carolina Primary Health Care Association,SC,29203,,non-profit,2025,2022,0,0,0,0,0,0,0,0,0,0,3,22332844,1,30,"PRIMARY HEALTHCARE ASSOCIATION OF S.C., THE",SC,COLUMBIA,31198486.64,71265871.62,43,5,31198486.64
RRMNVKKLHLE3,3,3,GLOUSTER,310718322,"HOCKING.ATHENS.PERRY COMMUNITY ACTION, INC.",OH,45732,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,23,94564395,1,230,HOCKING.ATHENS.PERRY COMMUNITY ACTION,OH,GLOUSTER,31162059.54,155463528.28,10,1,31162059.54
JZLNDU914DK9,2,2,PORTLAND,920060367,NORTH PACIFIC FISHERY MANAGEMENT COUNCIL,OR,97204,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,0,21228297,1,90,NORTH PACIFIC FISHERY MANAGEMENT COUNCIL,AK,ANCHORAGE,31128678,146740864,10,1,31128678
GLLJSSAH1DA8,3,3,Wilburton,474757537,Eastern Oklahoma State College,OK,74578,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,0,2,28853717,1,40,EASTERN OKLAHOMA STATE COLLEGE,OK,WILBURTON,31120696.76,89289729.89,55,7,31120696.76
FKK7V1NT6228,3,3,WARNER,621424939,CONNORS STATE COLLEGE,OK,74469,,local,2024,2022,0,0,0,0,0,0,0,0,5,0,34,36842330,1,340,CONNORS STATE COLLEGE,OK,WARNER,31102295.11,30898991.76,53,7,31102295.11
EPVLQJFK1U63,3,3,Denmark,570529056,Denmark Technical College,SC,29042,,higher-ed,2024,2022,0,0,0,0,25,10,0,0,0,15,0,30412465,1,250,DENMARK TECHNICAL COLLEGE,SC,DENMARK,31086339.98,48890664,66,6,31086339.98
LM66ALX6S2L5,3,3,Igiugig,920072200,IGIUGIG VILLAGE COUNCIL,AK,99613,,tribal,2024,2022,0,0,0,0,1,1,0,0,0,0,3,16562222,1,40,IGIUGIG VILLAGE,AK,KING SALMON,31085922.32,26952668.24,96,16,31085922.32
KNHQZKGZ8SG9,3,3,Mount Olive,560623936,"University of Mount Olive, Inc.",NC,28365,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,7,11,67337878,1,270,UNIVERSITY OF MOUNT OLIVE INC,NC,MOUNT OLIVE,31052362,34023959,38,4,31052362
UJDSUECKJVE9,3,4,Albany,936002305,Linn County,OR,97321,,local,2024,2022,0,0,0,0,1,0,0,0,0,0,2,54089017,1,30,LINN COUNTY BOARD OF COMMISSIONERS,OR,ALBANY,31052220.72,40132973.26,24,7,31052220.72
JSWHRXBYEWW3,3,3,Medford,936002207,City of Medford,OR,97501,,local,2024,2022,0,0,0,0,0,0,0,0,0,0,7,36071648,1,70,CITY OF MEDFORD,OR,MEDFORD,31046943.43,24138405.48,22,6,31046943.43
YDTVUWXQAZK9,3,3,KLAMATH FALLS,472893144,OREGON TECH,OR,97601,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,1,12,79896565,1,120,OREGON INSTITUTE OF TECHNOLOGY,OR,KLAMATH FALLS,31044655.02,31967970.97,66,11,31044655.02
RYZQU4KA4SK3,3,3,COSTA MESA,956002998,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA AND AFFILIATES,CA,92626,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,0,11,69426576,1,110,VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,CA,COSTA MESA,31028516.35,31653975.5,40,6,31028516.35
HTREMNKMB9E7,4,4,DENVER,840402707,REGIS UNIVERSITY,CO,800211099,84,higher-ed,2025,2022,0,0,0,0,0,0,0,0,0,2,6,236936808,1,60,REGIS UNIVERSITY,CO,DENVER,31021285.9,30705093.73,47,7,31021285.9
MNALJ7T6F139,1,1,Crow Agency,810331343,Apsaalooke Nation Housing Authority,MT,59022,,tribal,2021,2021,0,0,0,0,2,2,0,0,0,2,0,7146273,1,40,APSAALOOKE NATION HOUSING AUTHORITY,MT,CROW AGENCY,31016042.06,304275174,19,4,31016042.06
GFJMVJX6KC93,3,3,Toledo,237272741,"Neighborhood Health Association of Toledo, Inc.",OH,43604,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,12,11,18441688,1,140,NEIGHBORHOOD HEALTH ASSOCIATION OF TOLEDO INC,OH,TOLEDO,31000014,176042904,28,4,31000014
NWMWJUYUCN53,3,3,Wellpinit,911090446,Spokane Indian Housing Authority,WA,99040,,local,2024,2022,0,0,0,0,16,0,0,0,0,0,0,19392522,1,160,SPOKANE INDIAN HOUSING AUTHORITY,WA,WELLPINIT,30898770.99,282130380,33,5,30898770.99
YYU3PQUJBCP1,3,3,Philadelphia,232555950,Project HOME,PA,19130,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,4,51889003,1,40,PROJECT HOME,PA,PHILADELPHIA,30882907.93,70027050.12,69,5,30882907.93
WM65YAAGULL5,3,3,PENDER,470494452,"NORTHEAST NEBRASKA COMMUNITY ACTION PARTNERSHIP, INC.",NE,680470667,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,7,25640658,1,70,"NORTHEAST NEBRASKA COMMUNITY ACTION PARTNERSHIP, INC.",NE,PENDER,30866802.6,137964471.42,34,2,30866802.6
G47YDFGLXE83,2,2,WASHINGTON,521398742,"CENTER FOR INTERNATIONAL PRIVATE ENTERPRISE, INC.",DC,20036,,non-profit,2023,2022,0,0,0,0,0,0,0,0,0,0,63,80143971,1,630,"CENTER FOR INTERNATIONAL PRIVATE ENTERPRISE, INC.",DC,WASHINGTON,30860149.17,49467745.99,51,9,30860149.17
U4SCDG6B6NM8,4,4,San Antonio,741109633,Trinity University,TX,78212,,higher-ed,2025,2022,0,0,0,0,0,0,0,0,0,1,6,73008663,1,80,TRINITY UNIVERSITY,TX,SAN ANTONIO,30803180.11,19825074.74,100,17,30803180.11
G8ECAMD9YGC4,3,3,SPRINGFIELD,440552049,DRURY UNIVERSITY,MO,65802,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,0,4,52894793,1,40,DRURY UNIVERSITY,MO,SPRINGFIELD,30774484.08,33096858.08,40,6,30774484.08
WSRHNWKLAM97,3,3,DETROIT,383094394,"COMMUNITY HEALTH & SOCIAL SERVICES CENTER, INC.",MI,48209,,non-profit,2024,2022,0,0,0,0,12,12,0,0,0,11,3,18795358,1,150,"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC",MI,DETROIT,30767054.9,148855763.7,36,5,30767054.9
NAXZXMGW2XF6,1,1,Ithaca,156000407,City of Ithaca,NY,14850,,local,2021,2021,0,0,0,0,0,0,0,0,0,9,1,7541637,1,100,"ITHACA, CITY OF",NY,ITHACA,30758559.38,21240788,34,6,30758559.38
C8EKKJK67XB1,3,3,GLOBE,866000444,GILA COUNTY,AZ,85501,,local,2024,2022,0,0,0,0,5,2,0,0,1,1,0,35556675,1,50,"GILA COUNTY, AZ",AZ,GLOBE,30732083.56,25902640.78,40,7,30732083.56
LT7CLFEE1ZW4,3,3,Lewisburg,240772407,Bucknell University,PA,17837,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,2,4,72708262,1,40,BUCKNELL UNIVERSITY,PA,LEWISBURG,30642193.62,20344990,122,15,30642193.62
N3W3MELK1238,3,3,PHILADELPHIA,231501197,HOLY FAMILY UNIVERSITY,PA,19114,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,1,3,93272940,1,30,HOLY FAMILY UNIVERSITY,PA,PHILADELPHIA,30611135.38,32504886.01,38,8,30611135.38
FW2LLLFFGB81,3,3,Belair,520912842,HARFORD COMMUNITY COLLEGE,MD,21015,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,1,6,37579017,1,60,HARFORD COMMUNITY COLLEGE,MD,BEL AIR,30541142.09,35592465.25,43,7,30541142.09
FP9RQTC5TBZ7,3,3,OWENSBORO,616002279,HOUSING AUTHORITY OF OWENSBORO,KY,42303,,unknown,2024,2022,0,0,0,0,2,3,0,0,0,3,1,18508066,1,30,HOUSING AUTHORITY OF OWENSBORO,KY,OWENSBORO,30511838,8145918,192,3,30511838
WKDXG11GBR66,3,3,MANSFIELD,341753919,THIRD STREET COMMUNITY CLINIC DBA THIRD STREET FAMILY HEALTH SERVICES,OH,44906,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,4,17359786,1,160,THIRD STREET COMMUNITY CLINIC INC,OH,MANSFIELD,30510302,167591664,27,4,30510302
LS4JASCRZ5M7,3,3,SAN DIEGO,330492302,"ST. VINCENT DE PAUL VILLAGE, INC.",CA,92102,,non-profit,2024,2022,0,0,0,0,110,65,0,0,143,182,154,35864469,1,2640,"ST. VINCENT DE PAUL VILLAGE, INC.",CA,SAN DIEGO,30490629.92,59732268,73,5,30490629.92
DL3LJPJSK533,3,3,FORT TOTTEN,450305171,SPIRIT LAKE HOUSING CORPORATION,ND,58335,,tribal,2024,2022,0,0,0,0,2,0,0,0,0,2,2,19223003,1,40,SPIRIT LAKE HOUSING CORP,ND,FORT TOTTEN,30486268.27,286045530,20,4,30486268.27
KNSQZPJ3K775,3,3,Kansas City,202993509,Stowers Institute for Medical Research,MO,64110,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,0,17319154,1,370,STOWERS INSTITUTE FOR MEDICAL RESEARCH,MO,KANSAS CITY,30483507.29,37112892.36,166,12,30483507.29
T31QQ8TJ8Q66,3,3,NEW YORK,133409680,"COMMUNITY HEALTH PROJECT, INC DBA MICHAEL CALLEN-AUDRE LORDE CHC",NY,100114401,,non-profit,2024,2022,0,0,0,0,1,1,0,0,0,0,7,30197333,1,80,"COMMUNITY HEALTH PROJECT, INC.",NY,NEW YORK,30426359,61005948,64,10,30426359
J189AYCLGM61,2,2,OAKLAND,941667294,WEST OAKLAND HEALTH COUNCIL,CA,94607,,non-profit,2023,2022,0,0,0,0,0,0,0,0,0,8,10,13274142,1,100,THE WEST OAKLAND HEALTH COUNCIL,CA,OAKLAND,30406301,172709154,29,4,30406301
ESQXLCBNWCM9,3,3,SAINT PAUL,411414710,ESPERANZA UNITED,MN,55104,,non-profit,2024,2022,0,0,0,0,28,0,0,0,0,22,16,12646796,1,440,ESPERANZA UNITED,MN,SAINT PAUL,30317475.51,36326300,50,4,30317475.51
E23FTC3C7YP7,3,3,NEW YORK,133303089,ASSOCIATION TO BENEFIT CHILDREN,NY,10035,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,9,0,19917234,1,120,ASSOCIATION TO BENEFIT CHILDREN,NY,NEW YORK,30301924.3,119518194,35,4,30301924.3
CZ22WRFGJ9A9,3,3,Rio Rancho,850196710,"Five Sandoval Indian Pueblos, Inc.",NM,87144,,tribal,2024,2022,0,0,0,0,0,0,0,0,0,11,14,13738694,1,140,FIVE SANDOVAL INDIAN PUEBLOS INC,NM,RIO RANCHO,30279577,27317000,201,17,30279577
JEEGF4MLUDT7,2,2,WILLIAMSPORT,246000733,"COUNTY OF LYCOMING, PENNSYLVANIA",PA,17701,,local,2023,2022,0,0,0,0,0,0,0,0,0,10,10,25727146,1,100,COUNTY OF LYCOMING,PA,WILLIAMSPORT,30270495.8,30450846.28,14,4,30270495.8
T9KFFNUW2SY6,3,3,MILWAUKEE,390806154,"MOUNT MARY UNIVERSITY, INC.",WI,53222,,higher-ed,2024,2022,0,0,0,0,5,0,0,0,0,0,5,46939904,1,100,"MOUNT MARY UNIVERSITY, INC.",WI,MILWAUKEE,30198676.57,24948238,56,9,30198676.57
UNQZLA4565C3,2,2,WILLIAMSON,452849701,"WILLIAMSON HEALTH AND WELLNESS CENTER, INC.",WV,25661,,non-profit,2023,2022,0,0,0,0,0,0,0,0,0,0,6,15190549,1,60,"WILLIAMSON HEALTH & WELLNESS CENTER, INC",WV,WILLIAMSON,30195316.39,84096234,61,11,30195316.39
XNLLWNLEXGU5,4,4,GLENWOOD SPRINGS,840742145,MOUNTAIN FAMLY HEALTH CENTERS,CO,81604,,non-profit,2025,2022,0,0,0,0,3,3,0,0,3,0,10,23763281,1,130,MOUNTAIN FAMILY HEALTH CENTERS,CO,GLENWOOD SPRINGS,30138970.09,151038330.54,34,4,30138970.09
WLC1GBMGN9N7,3,3,GREENEVILLE,620484185,TUSCULUM UNIVERSITY,TN,37743,84,non-profit,2024,2022,0,0,0,0,1,0,0,0,4,4,21,182175412,1,220,TUSCULUM UNIVERSITY,TN,GREENEVILLE,30130929,19581110.92,83,10,30130929
N6DAMDJXFJ65,3,3,WALTHAM,041081650,BENTLEY UNIVERSITY,MA,02452,,higher-ed,2024,2022,0,0,0,0,2,0,0,0,0,2,2,96947994,1,40,BENTLEY UNIVERSITY,MA,WALTHAM,30110027.52,29305380,47,10,30110027.52
FBP3L2JCKC61,3,3,EBENSBURG,256001022,"COUNTY OF CAMBRIA, PENNSYLVANIA",PA,15931,,local,2024,2022,0,0,0,0,60,60,0,0,0,26,0,58056280,1,600,COUNTY OF CAMBRIA,PA,EBENSBURG,30108720.47,31435712.1,32,4,30108720.47
JXQAJ5Z7NCC3,4,4,LEXINGTON,300349221,HCC NETWORK,MO,64067,,non-profit,2025,2022,0,0,0,0,2,1,0,0,0,3,6,25385751,1,80,HCC NETWORK,MO,LEXINGTON,30108641.15,121934364,61,7,30108641.15
HKX3FPZFM5K7,3,4,HONOLULU,990161221,"KALIHI-PALAMA HEALTH CENTER (HALE HO'OLA HOU)",HI,96817,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,4,37482816,1,40,KALIHI PALAMA HEALTH CENTER,HI,HONOLULU,30105432,159906942,20,3,30105432
MB5GWJCFBGC7,3,3,IRVINE,260152908,UNIVERSITY OF MASSACHUSETTS GLOBAL-9 MONTH AUDIT,CA,92618,84,higher-ed,2024,2022,0,0,0,0,1,0,0,0,0,2,3,241183813,1,40,UNIVERSITY OF MASSACHUSETTS GLOBAL,CA,IRVINE,30095578.43,36358715.56,59,5,30095578.43
XA37N4VKZZ33,2,2,Bangor,016000011,"Count of Penobscot, Maine",ME,04401,,local,2022,2021,0,0,0,0,0,0,0,0,0,20,0,10944109,1,200,COUNTY OF PENOBSCOT,ME,BANGOR,30086361.86,30086361.86,3,1,30086361.86
RC6QXW77MA38,3,3,FAYETTE,420680372,UPPER IOWA UNIVERSITY,IA,521421857,,higher-ed,2024,2022,0,0,0,0,0,0,0,0,0,5,0,86565181,1,70,UPPER IOWA UNIVERSITY,IA,FAYETTE,30054242.36,37552074.95,56,7,30054242.36
CSSJGCRUZ9F3,3,3,New York,131624225,Yeshiva University,NY,10033,84,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,7,0,214870185,1,180,YESHIVA UNIVERSITY,NY,NEW YORK,30050553.04,22606687.87,72,12,30050553.04
EYF2KMFQ9NB6,2,2,SANTA FE,850257748,PUEBLO DE SAN ILDEFONSO GOVERNMENTAL SERVICES DEPARTMENT,NM,87506,,tribal,2023,2022,0,0,0,0,0,0,0,0,0,0,5,11296909,1,50,PUEBLO DE SAN ILDEFONSO,NM,SANTA FE,30046120.75,37632634.62,251,26,30046120.75
LEJGNN7CS3N7,2,2,Moraga,941156599,"Saint Mary's College of California",CA,94575,,higher-ed,2024,2023,0,0,0,0,0,0,0,0,1,0,9,57087957,1,90,SAINT MARYS COLLEGE OF CALIFORNIA,CA,MORAGA,30003715.12,25943377.33,75,14,30003715.12
W2W8J9G9JNU9,3,3,JUNEAU,920109032,DOUGLAS INDIAN ASSOCIATION,AK,99801,,tribal,2024,2022,0,0,0,0,4,1,0,0,1,0,2,20530023,1,60,DOUGLAS INDIAN ASSOCIATION,AK,JUNEAU,29990611.92,27683944.54,62,11,29990611.92
F8V5PEN89KK9,3,3,TOPEKA,481238782,TOPEKA HOUSING AUTHORITY,KS,666071444,,local,2024,2022,0,0,0,0,6,5,0,0,2,0,0,30836122,1,80,CITY OF TOPEKA,KS,TOPEKA,29980145,10375432.02,145,4,29980145
Q26QYMDHADC9,3,3,ST. JOSEPH,386000191,COUNTY OF BERRIEN,MI,49085,,local,2024,2022,0,0,0,0,0,0,0,0,0,0,7,44193861,1,70,COUNTY OF BERRIEN GOVERNMENT,MI,SAINT JOSEPH,29975637.69,29900881.38,5,2,29975637.69
RM5KZ2YS33N3,2,2,KODIAK,710930513,"SUN'AQ TRIBE OF KODIAK",AK,99615,,tribal,2023,2022,0,0,0,0,1,4,0,0,0,1,0,9672086,1,40,"SUN'AQ TRIBE OF KODIAK",AK,KODIAK,29948674.92,32196239.3,147,22,29948674.92
PLUJWPAKX8N9,3,3,GEORGETOWN,141850828,"LA RED HEALTH CENTER, INC",DE,19947,,non-profit,2024,2022,0,0,0,0,6,0,0,0,0,6,0,19081870,1,60,"LA RED HEALTH CENTER, INC.",DE,GEORGETOWN,29936153.5,161203854,24,4,29936153.5
CW7UQ4NXS2U4,3,3,CHERAW,570510554,NORTHEASTERN TECHNICAL COLLEGE,SC,29520,,higher-ed,2024,2022,0,0,0,0,5,0,0,0,0,0,3,18201048,1,80,NORTHEASTERN TECHNICAL COLLEGE,SC,CHERAW,29826559.52,22976852,45,8,29826559.52
J5NLLKLQCBJ3,1,1,UNALAKLEET,920039457,NATIVE VILLAGE OF UNALAKLEET,AK,99684,,tribal,2021,2021,0,0,0,0,0,5,0,0,0,0,0,2934133,1,50,NATIVE VILLAGE OF UNALAKLEET,AK,UNALAKLEET,29701560.58,40207547.4,138,19,29701560.58
TX4YD2YYVNW9,3,3,BLOOMINGTON,416004990,"CITY OF BLOOMINGTON, MINNESOTA",MN,55431,,local,2024,2022,0,0,0,0,0,0,0,0,0,0,8,51613728,1,80,CITY OF BLOOMINGTON,MN,MINNEAPOLIS,29663041.45,26311545.22,23,5,29663041.45
FPKNZKB69CX6,3,3,COACHELLA,931175797,TWENTY-NINE PALMS BAND OF MISSION INDIANS,CA,92236,,tribal,2024,2022,0,0,0,0,1,1,0,0,0,0,2,16892333,1,30,TWENTY-NINE PALMS BAND OF MISSION INDIANS,CA,COACHELLA,29655570.71,44115569.84,103,18,29655570.71
QLHBMF3MB1M8,3,3,ASHEVILLE,561852922,"WESTERN NORTH CAROLINA COMMUNITY HEALTH SERVICES, INC.",NC,28803,,non-profit,2024,2022,0,0,0,0,4,4,0,0,0,0,0,17407182,1,40,"WESTERN NORTH CAROLINA COMMUNITY HEALTH SERVICES, INC",NC,ASHEVILLE,29648772.84,109204710,41,5,29648772.84
YK1LYF3LQNL5,3,3,MIAMI GARDENS,590949880,ST. THOMAS UNIVERSITY INC.,FL,33054,84,higher-ed,2024,2022,0,0,0,0,0,0,0,0,6,1,1,224295666,1,170,"ST. THOMAS UNIVERSITY, INC",FL,OPA LOCKA,29633593.47,31387709.01,41,5,29633593.47
NFANL539HER6,4,4,LORDSBURG,850292834,HIDALGO MEDICAL SERVICES,NM,88045,,non-profit,2025,2022,0,0,0,0,0,0,0,0,0,3,3,22028151,1,30,HIDALGO MEDICAL SERVICES,NM,LORDSBURG,29565917.75,147173256,32,4,29565917.75
KD35PTLB9F18,2,2,CARBONDALE,371100482,"COMMUNITY HEALTH AND EMERGENCY SERVICES, INC.",IL,62901,,non-profit,2023,2022,0,0,0,0,6,5,0,0,1,3,0,13561736,1,60,COMMUNITY HEALTH & EMERGENCY SERVICES INC,IL,CARBONDALE,29535874,170045142,22,2,29535874
CBYASLYK7CQ5,2,2,IOWA CITY,426804806,"JOHNSON COUNTY, IOWA",IA,52240,,local,2023,2022,0,0,0,0,15,15,0,0,4,7,3,17851971,1,180,COUNTY OF JOHNSON,IA,IOWA CITY,29457173,29457173,2,1,29457173
CW7ZCAQRKBL4,2,2,HUNTINGDON,236003031,COUNTY OF HUNTINGDON,PA,16652,,local,2023,2022,0,0,0,0,5,5,0,0,0,0,0,19787376,1,50,HUNTINGDON COUNTY,PA,HUNTINGDON,29390611.35,49800981.34,7,2,29390611.35
F6JMJXYQPHJ6,4,4,Minneapolis,411000424,"Arts Midwest, Incorporated",MN,55416,,non-profit,2025,2022,0,0,0,0,3,0,0,0,0,0,5,22617925,1,80,"ARTS MIDWEST, INCORPORATED",MN,MINNEAPOLIS,29328752,15948786,34,3,29328752
C8VJHC5ENG59,3,3,LAKE CHARLES,726000235,CALCASIEU PARISH SCHOOL BOARD,LA,70815,84,local,2024,2022,0,0,0,0,8,0,0,0,0,4,0,581370009,1,80,CALCASIEU PARISH SCHOOL BOARD,LA,LAKE CHARLES,29244497.46,126262864.85,31,4,29244497.46
K9BPKJN51NB1,3,3,NOVATO,942237120,"MARIN COMMUNITY CLINICS, INC.",CA,94949,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,7,10,22471096,1,100,MARIN COMMUNITY CLINIC,CA,NOVATO,29189884.34,125339126.04,23,3,29189884.34
FPZ9KW2KCUF7,3,3,ARLINGTON,540573801,MARYMOUNT UNIVERSITY,VA,22207,,non-profit,2024,2022,0,0,0,0,0,0,0,0,1,13,39,124759809,1,390,MARYMOUNT UNIVERSITY,VA,ARLINGTON,29161611.75,22640683.3,68,15,29161611.75
JC8PKJTFNM86,4,4,SPARKS,886000202,CITY OF SPARKS,NV,89431,,local,2025,2022,0,0,0,0,3,3,0,0,0,1,1,29643327,1,40,CITY OF SPARKS,NV,SPARKS,29145796.06,239570344.76,25,4,29145796.06
NAZGLF3NYJR4,3,4,WINCHESTER,546001683,"CITY OF WINCHESTER, VIRGINIA",VA,22601,,local,2024,2022,0,0,0,0,0,0,0,0,0,0,6,95833869,1,150,CITY OF WINCHESTER,VA,WINCHESTER,29097558.1,18154750,68,6,29097558.1
DBLFVTLKB2H3,3,3,WASHINGTON,521122122,"WHITMAN-WALKER CLINIC, INC. DBA WHITMAN-WALKER HEALTH",DC,20009,,non-profit,2024,2022,0,0,0,0,1,1,0,0,0,0,3,44126519,1,40,WHITMAN-WALKER CLINIC INC,DC,WASHINGTON,29089420.37,115776699.72,48,8,29089420.37
UHYPF5CN5JM7,3,3,DENVER,232220051,INTERNATIONAL DEVELOPMENT ENTERPRISES AND SUBSIDIARIES,CO,80205,,non-profit,2024,2022,0,0,0,0,0,0,0,0,0,0,9,42705470,1,90,INTERNATIONAL DEVELOPMENT ENTERPRISES,CO,DENVER,29082815,68940220,14,1,29082815
K7N8JHQ4NWL5,1,1,FORT WASHAKIE,841433335,EASTERN SHOHONE HOUSING AUTHORITY,MI,82514,,tribal,2022,2022,0,0,0,0,0,0,0,0,0,5,7,7307726,1,70,EASTERN SHOSHONE HOUSING AUTHORITY,WY,FORT WASHAKIE,29050192.3,181724118,20,4,29050192.3
KVNDFLSBJJ96,4,4,AKIACHAK,920110774,YUPIIT SCHOOL DISTRICT,AK,99551,,state,2025,2022,0,0,0,0,0,0,0,0,0,0,8,36389025,1,80,YUPIIT SCHOOL DISTRICT,AK,AKIACHAK,29046202.09,29649303.79,43,6,29046202.09
LTQJH3M6L8B5,3,3,Calmar,420924711,Northeast Iowa Community College,IA,52132,,local,2024,2022,0,0,0,0,0,0,0,0,0,0,12,36704024,1,120,NORTHEAST IOWA COMMUNITY COLLEGE,IA,CALMAR,28992399.08,28886553.08,49,7,28992399.08
W9MPE47KRNH3,3,3,BOX ELDER,810301843,CHIPPEWA CREE HOUSING AUTHORITY,MT,595218795,,tribal,2024,2022,0,0,0,0,5,5,0,0,0,4,0,26912077,1,50,CHIPPEWA CREE HOUSING AUTHORITY,MT,BOX ELDER,28946477.62,256627498.02,15,3,28946477.62
JLJ7ANHJV5K5,3,3,PHOENIX,262420730,CIRCLE THE CITY,AZ,85013,,non-profit,2024,2022,0,0,0,0,10,0,0,0,0,4,0,14955128,1,100,CIRCLE THE CITY,AZ,PHOENIX,28942305,171884572.86,26,4,28942305
